knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K05786	99.57	full	all	0.999498	4841	3989	1978	428	4.79	0.590	chloramphenicol-sensitive protein RarD
K05787	140.53	domain	all	0.730633	1174	435	232	108	2.31	0.590	DNA-binding protein HU-alpha
K05788	127.63	domain	all	0.921077	3761	2365	637	194	9.49	0.590	integration host factor subunit beta
K05789	246.57	full	all	0.920068	406	298	810	386	6.77	0.590	chain length determinant protein (polysaccharide antigen chain regulator)
K05790	232.67	full	all	0.952648	588	356	540	348	2.52	0.590	lipopolysaccharide biosynthesis protein WzzE
K05791	198.07	domain	all	0.956887	670	564	580	239	3.22	0.590	tellurium resistance protein TerZ
K05792	210.70	full	trim	0.981468	677	605	1592	415	4.28	0.590	tellurite resistance protein TerA
K05793	63.87	full	trim	0.993007	531	423	476	281	3.75	0.590	tellurite resistance protein TerB
K05794	154.43	full	all	0.998938	3758	3298	2192	434	3.18	0.590	tellurite resistance protein TerC
K05795	237.23	domain	all	0.942767	2471	1964	1140	390	5.49	0.590	tellurium resistance protein TerD
K05796	220.97	full	all	0.969064	603	318	322	181	0.87	0.590	electron transport protein HydN
K05797	239.87	domain	all	0.897142	325	315	1097	542	4.32	0.590	4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]
K05798	259.90	full	all	0.996764	551	312	540	313	1.66	0.591	LysR family transcriptional regulator, transcriptional activator for leuABCD operon
K05799	139.80	full	all	0.705260	9655	8106	2912	414	33.03	0.590	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
K05800	196.53	domain	trim	0.884071	2784	1949	452	237	4.03	0.590	Lrp/AsnC family transcriptional regulator, cysteine-sensing transcriptional activator
K05801	94.17	domain	all	0.993094	2389	1893	1476	334	8.72	0.590	DnaJ like chaperone protein
K05802	500.10	full	all	0.832692	2550	2218	5402	844	12.57	0.590	potassium-dependent mechanosensitive channel
K05803	110.50	domain	all	0.990293	947	569	546	295	4.65	0.590	lipoprotein NlpI
K05804	202.90	full	all	0.911314	877	556	732	294	4.18	0.590	AraC family transcriptional regulator, mar-sox-rob regulon activator
K05805	21.43	domain	trim	0.998957	1971	1438	493	239	4.62	0.590	CreA protein
K05806	49.97	full	all	1.000000	129	44	46	28	4.46	1.916	leu operon leader peptide
K05807	59.53	domain	all	0.998227	4318	3388	2278	388	16.99	0.590	outer membrane protein assembly factor BamD
K05808	97.27	full	all	0.896387	5614	4066	882	222	9.43	0.590	ribosome hibernation promoting factor
K05809	120.77	full	all	0.744094	1129	648	205	113	3.21	0.590	ribosome-associated inhibitor A
K05810	55.93	full	all	0.999470	6592	5657	3191	364	8.90	0.590	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
K05811	44.50	domain	all	0.995153	531	309	398	149	4.90	0.590	putative lipoprotein
K05812	74.20	full	all	0.999230	2967	2597	2921	388	9.06	0.590	tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]
K05813	329.17	full	all	0.927991	3194	2674	1753	511	7.77	0.590	sn-glycerol 3-phosphate transport system substrate-binding protein
K05814	353.00	full	all	0.768365	3008	2398	986	357	3.76	0.590	sn-glycerol 3-phosphate transport system permease protein
K05815	308.57	domain	all	0.803574	3044	2400	910	302	3.02	0.590	sn-glycerol 3-phosphate transport system permease protein
K05816	526.73	domain	all	0.396928	2479	2037	1149	410	1.50	0.591	sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]
K05817	278.53	full	all	0.949099	277	205	485	298	3.05	0.590	LysR family transcriptional regulator, hca operon transcriptional activator
K05818	176.77	domain	all	0.994290	433	354	672	329	5.67	0.590	IclR family transcriptional regulator, mhp operon transcriptional activator
K05819	374.00	domain	all	0.971421	445	343	607	408	2.63	0.590	MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter
K05820	183.67	full	all	0.993019	2500	2147	1767	499	9.79	0.590	MFS transporter, PPP family, 3-phenylpropionic acid transporter
K05821	472.87	full	all	0.985507	35	35	754	489	1.25	0.591	aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]
K05822	340.27	full	all	0.866722	752	513	466	238	1.36	0.589	tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]
K05823	355.80	domain	trim	0.994080	767	592	507	375	1.27	0.589	N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]
K05824	426.20	full	all	0.937070	219	211	601	350	1.07	0.589	homoisocitrate dehydrogenase [EC:1.1.1.87]
K05825	390.43	full	all	0.957526	3097	2773	2280	577	7.50	0.590	2-aminoadipate transaminase [EC:2.6.1.-]
K05826	33.73	domain	trim	0.981859	416	334	184	94	5.35	0.608	alpha-aminoadipate/glutamate carrier protein LysW
K05827	351.60	domain	trim	0.622712	266	246	482	279	2.82	0.590	[lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]
K05828	221.00	full	all	0.994872	318	293	570	286	1.88	0.590	[amino group carrier protein]-L-2-aminoadipate/L-glutamate 6-kinase [EC:2.7.2.17 2.7.2.19]
K05829	415.63	full	all	0.894022	364	339	530	347	1.68	0.590	[amino group carrier protein]-6-phospho-L-2-aminoadipate/5-phospho-L-glutamate reductase [EC:1.2.1.103 1.2.1.106]
K05830	500.57	domain	all	0.914777	282	261	671	393	1.78	0.590	[amino-group carrier protein]-gamma-(L-lysyl/L-ornithyl)-L-glutamate aminotransferase [EC:2.6.1.118 2.6.1.124]
K05831	296.77	full	all	0.996317	295	274	744	363	2.57	0.590	[amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]
K05832	251.70	domain	all	0.977650	2217	1788	1810	1017	2.85	0.590	putative tryptophan/tyrosine transport system permease protein
K05833	181.50	domain	all	0.997763	2238	1791	475	264	1.59	0.590	putative tryptophan/tyrosine transport system ATP-binding protein
K05834	169.97	domain	all	0.966823	4038	3313	860	264	5.32	0.590	homoserine/homoserine lactone efflux protein
K05835	158.00	full	all	0.944733	4325	3493	913	257	5.59	0.590	threonine efflux protein
K05836	200.47	full	all	0.994063	2345	1860	830	306	4.14	0.590	GntR family transcriptional regulator, histidine utilization repressor
K05837	389.60	full	all	0.884868	6429	5120	2907	486	5.81	0.590	rod shape determining protein RodA
K05838	149.27	domain	all	0.994172	3792	3183	1574	377	7.74	0.590	putative thioredoxin
K05839	39.57	full	all	1.000000	747	247	201	126	2.10	0.590	haemolysin expression modulating protein
K05840	712.57	domain	all	0.850426	853	827	3061	663	3.66	0.590	dopamine receptor D5
K05841	280.37	full	all	0.959116	1420	1386	10011	736	6.62	0.590	sterol 3beta-glucosyltransferase [EC:2.4.1.173]
K05842	284.83	full	all	1.000000	358	356	2082	800	4.36	0.590	toll-like receptor adapter molecule 1
K05843	246.87	domain	all	0.992122	515	507	2836	851	4.10	0.590	transforming growth factor, beta receptor III
K05844	304.33	full	all	0.867945	2693	2154	1309	495	11.29	0.590	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
K05845	124.53	domain	trim	0.707878	5672	4710	2791	531	10.88	0.590	osmoprotectant transport system substrate-binding protein
K05846	177.53	domain	all	0.772130	9184	7332	4430	557	11.95	0.590	osmoprotectant transport system permease protein
K05847	355.10	domain	all	0.967726	5262	4287	2124	399	2.59	0.590	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
K05848	707.87	full	all	1.000000	3	3	317	316	0.38	0.589	phytoceramidase [EC:3.5.1.-]
K05849	314.90	domain	all	0.993014	1938	1854	7209	1094	2.79	0.590	solute carrier family 8 (sodium/calcium exchanger)
K05850	1186.57	full	all	0.973320	1991	1888	10465	1665	2.73	0.590	P-type Ca2+ transporter type 2B [EC:7.2.2.10]
K05851	356.03	full	all	1.000000	1143	877	2706	1024	4.51	0.590	adenylate cyclase, class 1 [EC:4.6.1.1]
K05852	99.83	full	all	1.000000	385	129	71	52	1.18	1.068	phospholamban
K05853	1333.17	full	trim	0.974496	1942	1840	3939	1098	1.18	0.591	P-type Ca2+ transporter type 2A [EC:7.2.2.10]
K05854	902.13	domain	all	0.923977	401	351	1532	587	1.34	0.590	tyrosine-protein kinase Lyn [EC:2.7.10.2]
K05855	970.10	full	all	0.894331	419	398	2186	745	2.06	0.591	spleen tyrosine kinase [EC:2.7.10.2]
K05856	862.73	domain	trim	0.927363	390	353	1332	674	1.87	0.590	lymphocyte cell-specific protein tyrosine kinase [EC:2.7.10.2]
K05857	860.87	full	all	0.649190	2808	2728	11828	881	5.69	0.590	phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]
K05858	681.37	full	all	0.994711	2062	1987	10000	1187	2.06	0.589	phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]
K05859	1866.47	full	all	0.976027	378	366	2736	1289	0.96	0.590	phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]
K05860	1024.83	domain	all	0.998183	561	552	9708	2554	3.00	0.590	phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]
K05861	842.17	full	all	0.938710	344	335	1623	733	1.12	0.591	phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]
K05862	541.87	full	all	0.959847	422	285	575	292	1.03	0.588	voltage-dependent anion channel protein 1
K05863	225.80	domain	all	0.982813	3307	2863	4543	457	5.65	0.590	solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31
K05864	352.80	domain	trim	0.972000	1143	1077	2521	615	5.38	0.590	peptidyl-prolyl isomerase D [EC:5.2.1.8]
K05865	262.67	domain	all	0.963118	507	224	571	195	1.70	0.590	troponin C, slow skeletal and cardiac muscles
K05866	472.80	full	all	0.707220	630	614	3697	527	3.38	0.590	M-phase inducer phosphatase 2 [EC:3.1.3.48]
K05867	479.67	full	all	0.941915	226	225	1126	599	2.08	0.590	M-phase inducer phosphatase 3 [EC:3.1.3.48]
K05868	579.03	domain	trim	0.829072	519	475	1492	542	4.38	0.590	G2/mitotic-specific cyclin-B1
K05869	459.23	domain	all	0.950061	563	535	2423	497	2.11	0.590	calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]
K05870	419.80	domain	trim	0.716376	706	497	1679	353	2.89	0.590	cyclic AMP-responsive element-binding protein 1
K05871	1232.07	full	all	0.989635	452	440	2622	1043	1.13	0.589	focal adhesion kinase 2 [EC:2.7.10.2]
K05872	314.77	domain	all	0.952783	396	372	1286	412	2.68	0.590	NF-kappa-B inhibitor epsilon
K05873	76.40	full	all	0.987771	1055	943	895	286	10.29	0.590	adenylate cyclase, class 2 [EC:4.6.1.1]
K05874	636.17	domain	all	0.536525	2601	2141	1923	645	4.29	0.590	methyl-accepting chemotaxis protein I, serine sensor receptor
K05875	651.10	full	all	0.842786	842	652	993	581	2.13	0.590	methyl-accepting chemotaxis protein II, aspartate sensor receptor
K05876	618.87	full	all	0.985366	556	416	764	531	1.94	0.590	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor
K05877	712.73	full	trim	0.911776	317	246	733	531	1.54	0.589	methyl-accepting chemotaxis protein IV, peptide sensor receptor
K05878	468.53	domain	all	0.804601	2677	2160	1500	595	3.20	0.590	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]
K05879	197.67	domain	trim	0.913119	2727	2152	1059	296	4.86	0.590	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]
K05880	636.33	full	all	1.000000	285	196	700	646	1.22	0.590	transcriptional activator for dhaKLM operon
K05881	84.70	domain	trim	0.846480	1573	1013	978	247	4.49	0.590	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]
K05882	464.17	full	all	0.989247	80	47	525	315	0.74	0.591	aryl-alcohol dehydrogenase (NADP+) [EC:1.1.1.91]
K05884	404.97	full	all	0.823132	288	277	519	351	3.41	0.590	L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]
K05886	385.90	domain	all	0.941311	220	189	342	250	1.20	0.590	serine 3-dehydrogenase (NADP+) [EC:1.1.1.276]
K05887	565.13	full	all	0.990476	164	55	298	288	0.53	0.587	quinate/shikimate dehydrogenase [EC:1.1.1.282]
K05888	464.93	domain	all	0.986855	662	617	1126	556	3.68	0.590	L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]
K05889	342.90	domain	all	0.952532	156	144	1777	580	4.72	0.590	polyvinyl alcohol dehydrogenase (cytochrome) [EC:1.1.2.6]
K05894	488.07	full	all	0.969423	1207	1136	2458	441	1.50	0.590	12-oxophytodienoic acid reductase [EC:1.3.1.42]
K05895	164.90	full	all	0.946174	2542	2192	2372	494	6.33	0.590	precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
K05896	40.53	full	all	0.999409	5940	5077	3567	326	9.08	0.590	segregation and condensation protein A
K05897	469.27	full	all	0.830808	17	17	585	472	1.27	0.589	oxazoline/thiazoline dehydrogenase [EC:1.3.3.16]
K05898	350.60	full	all	0.978378	1270	1163	2033	815	4.18	0.590	3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
K05901	168.60	full	all	0.979254	483	441	820	286	4.23	0.590	biliverdin reductase / flavin reductase [EC:1.3.1.24 1.5.1.30]
K05906	105.30	domain	all	0.993998	859	829	3079	587	5.52	0.590	prenylcysteine oxidase / farnesylcysteine lyase [EC:1.8.3.5 1.8.3.6]
K05907	464.07	full	all	0.985460	329	314	1230	668	1.75	0.589	adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]
K05908	247.37	full	all	0.987651	131	124	516	345	2.15	0.590	thiosulfate dehydrogenase (quinone) [EC:1.8.5.2]
K05909	422.60	full	all	0.991671	4274	4054	8278	672	2.13	0.590	laccase [EC:1.10.3.2]
K05910	506.63	full	all	1.000000	123	103	503	452	1.05	0.590	NADH peroxidase [EC:1.11.1.1]
K05913	70.87	full	all	0.995740	572	473	397	177	5.73	0.590	2,4'-dihydroxyacetophenone dioxygenase [EC:1.13.11.41]
K05914	-	-	-	-	1	1	548	548	0.39	0.594	photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7]
K05915	-	-	-	-	1	1	201	201	0.39	0.590	(hydroxymethyl)phosphonate/2-amino-1-hydroxyethylphosphonate dioxygenase [EC:1.13.11.89 1.13.11.78]
K05916	284.70	full	trim	0.985017	3167	2699	2547	471	4.65	0.590	nitric oxide dioxygenase [EC:1.14.12.17]
K05917	302.20	domain	all	0.993041	1341	1218	2430	602	2.96	0.590	sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36]
K05918	529.13	domain	all	0.668593	3	3	571	515	0.59	0.589	4-hydroxybenzoate brominase (decarboxylating) [EC:1.14.19.55]
K05919	40.47	full	all	0.993174	883	805	478	222	5.09	0.590	superoxide reductase [EC:1.15.1.2]
K05921	235.67	full	all	0.948876	1355	1060	1278	432	3.57	0.590	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
K05922	799.03	full	all	0.998236	324	282	720	570	0.75	0.590	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]
K05925	212.07	full	all	0.996681	829	757	3395	621	3.05	0.590	mRNA m6A methyltransferase catalytic subunit [EC:2.1.1.348]
K05926	294.63	full	all	1.000000	18	17	302	267	0.95	0.590	23S rRNA (adenosine1067-2'-O)-methyltransferase [EC:2.1.1.230]
K05927	481.13	full	all	0.986928	376	306	1272	409	1.02	0.589	quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]
K05928	301.97	full	all	0.986090	344	326	963	385	1.81	0.591	tocopherol O-methyltransferase [EC:2.1.1.95]
K05929	205.73	full	trim	0.999130	595	573	2644	668	3.25	0.590	phosphoethanolamine N-methyltransferase [EC:2.1.1.103]
K05931	335.83	full	all	0.996117	1094	1032	4181	599	2.12	0.590	type I protein arginine methyltransferase [EC:2.1.1.319]
K05933	295.67	domain	all	0.996044	1102	1016	927	400	1.63	0.591	aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
K05934	352.33	domain	all	0.497919	1705	1421	1859	487	8.83	0.590	precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]
K05936	237.23	domain	all	0.992701	3084	2614	1471	355	3.99	0.590	precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]
K05937	51.60	full	trim	0.998464	410	312	208	123	1.99	0.590	uncharacterized protein
K05939	459.63	domain	all	0.998177	1305	1100	2262	1101	4.84	0.590	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
K05940	581.97	full	all	0.985353	527	518	3103	808	2.34	0.591	carnitine O-octanoyltransferase [EC:2.3.1.137]
K05941	283.93	domain	all	0.399269	436	423	3087	489	3.46	0.590	glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]
K05942	333.00	full	all	0.965000	265	237	781	446	1.60	0.590	citrate (Re)-synthase [EC:2.3.3.3]
K05946	233.83	full	all	0.878851	2657	2364	3382	481	14.69	0.590	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]
K05947	423.30	full	all	1.000000	94	91	1152	470	1.38	0.590	mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]
K05948	97.67	domain	all	0.995443	1407	1317	3482	377	2.28	0.590	fringe [EC:2.4.1.222]
K05951	273.40	full	all	1.000000	156	151	562	271	1.25	0.591	NAD+---dinitrogen-reductase ADP-D-ribosyltransferase [EC:2.4.2.37]
K05952	31.70	full	all	0.979676	1063	701	264	120	3.42	0.590	uncharacterized protein
K05953	202.17	full	all	1.000000	553	503	2056	404	1.41	0.590	nicotianamine synthase [EC:2.5.1.43]
K05954	264.80	full	all	0.987259	992	942	3974	564	3.22	0.590	protein farnesyltransferase subunit beta [EC:2.5.1.58]
K05955	160.07	full	all	0.992734	1007	962	2601	522	4.88	0.590	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]
K05956	274.83	full	all	0.971349	1094	1018	2766	656	4.65	0.590	geranylgeranyl transferase type-2 subunit beta [EC:2.5.1.60]
K05957	740.00	full	all	1.000000	5	5	431	424	0.58	0.593	L-glutamine:scyllo-inosose aminotransferase [EC:2.6.1.50]
K05960	713.13	full	all	1.000000	4	4	391	364	0.47	0.587	tau-protein kinase [EC:2.7.11.26]
K05961	335.93	domain	trim	0.690282	252	237	667	280	1.88	0.590	deoxynucleoside kinase [EC:2.7.1.145]
K05964	182.33	domain	trim	0.874245	824	559	488	194	4.25	0.590	holo-ACP synthase [EC:2.7.7.61]
K05966	220.07	domain	trim	0.702749	1365	1094	1362	359	8.74	0.590	triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K05967	109.47	full	trim	0.982977	499	417	476	215	5.07	0.590	uncharacterized protein
K05969	94.67	full	all	0.991367	751	689	1095	256	4.31	0.590	peptidyl-tRNA hydrolase PTRHD1 [EC:3.1.1.29]
K05970	130.87	domain	all	0.997687	2009	1941	6884	588	5.11	0.590	sialate O-acetylesterase [EC:3.1.1.53]
K05972	71.77	domain	trim	0.918024	382	370	1439	447	5.90	0.590	acetylxylan esterase [EC:3.1.1.72]
K05973	346.67	full	trim	0.958867	1598	1421	2298	801	5.23	0.590	poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
K05977	511.90	full	all	1.000000	14	10	386	360	0.56	0.586	2'-hydroxybiphenyl-2-sulfinate desulfinase [EC:3.13.1.3]
K05978	526.83	full	all	1.000000	64	58	502	418	0.91	0.591	glucosylglycerol 3-phosphatase [EC:3.1.3.69]
K05979	55.43	full	all	0.998416	1347	1262	1711	516	8.03	0.590	2-phosphosulfolactate phosphatase [EC:3.1.3.71]
K05982	224.70	domain	all	0.881620	1976	1654	1578	376	5.44	0.590	deoxyribonuclease V [EC:3.1.21.7]
K05984	324.37	full	trim	0.950040	454	299	487	289	1.51	0.589	excinuclease Cho [EC:3.1.25.-]
K05985	98.83	full	all	0.996798	1459	1094	538	278	3.79	0.590	ribonuclease M5 [EC:3.1.26.8]
K05986	78.13	full	all	0.999258	1423	1345	2532	403	5.10	0.590	nuclease S1 [EC:3.1.30.1]
K05988	127.30	full	trim	0.990099	156	141	2243	790	4.18	0.590	dextranase [EC:3.2.1.11]
K05989	196.07	domain	all	0.985741	2099	2051	14558	1469	13.34	0.590	alpha-L-rhamnosidase [EC:3.2.1.40]
K05991	196.67	full	all	0.989847	321	298	2506	569	6.32	0.590	endoglycosylceramidase [EC:3.2.1.123]
K05992	-	-	-	-	1	1	717	717	0.39	0.592	maltogenic alpha-amylase [EC:3.2.1.133]
K05994	199.97	domain	all	0.985629	622	564	2745	710	6.16	0.590	bacterial leucyl aminopeptidase [EC:3.4.11.10]
K05995	87.80	domain	all	0.984919	2484	2137	1347	287	10.43	0.590	dipeptidase E [EC:3.4.13.21]
K05996	341.60	domain	all	0.976804	384	372	2499	829	7.14	0.590	carboxypeptidase T [EC:3.4.17.18]
K05997	141.90	full	all	0.917579	604	327	254	129	1.96	0.590	Fe-S cluster assembly protein SufA
K05998	721.67	full	all	0.957392	177	137	1131	591	1.27	0.589	pseudomonalisin [EC:3.4.21.100]
K05999	836.17	full	all	0.937500	77	51	1444	841	1.53	0.590	xanthomonalisin [EC:3.4.21.101]
K06000	759.73	domain	all	1.000000	3	3	345	345	0.40	0.590	papain [EC:3.4.22.2]
K06001	452.17	full	all	0.960868	1236	1137	1422	966	2.11	0.590	tryptophan synthase beta chain [EC:4.2.1.20]
K06002	543.80	domain	all	0.671265	1072	1039	3133	482	4.04	0.590	pepsin A [EC:3.4.23.1]
K06004	326.97	full	all	0.967742	46	45	953	458	1.36	0.590	aspergillopepsin I [EC:3.4.23.18]
K06005	412.43	full	all	0.618118	67	66	1209	453	2.42	0.590	candidapepsin [EC:3.4.23.24]
K06006	43.67	full	all	0.898878	3078	2414	2674	231	49.25	0.590	periplasmic protein CpxP/Spy
K06007	1004.77	full	all	1.000000	4	3	453	452	0.40	0.588	plasmepsin I [EC:3.4.23.38]
K06008	1023.10	full	all	1.000000	4	4	453	453	0.39	0.587	plasmepsin II [EC:3.4.23.39]
K06009	503.67	full	all	0.881857	47	47	1280	547	1.52	0.590	yapsin 1/2 [EC:3.4.23.41]
K06011	1751.87	full	all	0.962963	17	14	1400	1281	0.84	0.590	botulinum neurotoxin [EC:3.4.24.69]
K06012	199.83	full	all	1.000000	714	600	851	332	1.46	0.589	spore protease [EC:3.4.24.78]
K06013	111.03	full	all	0.984997	2022	1885	4899	847	9.06	0.590	STE24 endopeptidase [EC:3.4.24.84]
K06015	152.33	domain	all	0.886896	1647	1534	3367	778	5.82	0.590	N-acyl-D-amino-acid deacylase [EC:3.5.1.81]
K06016	475.70	full	all	0.742338	3847	3522	2551	573	4.24	0.590	beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
K06018	529.00	full	all	1.000000	139	137	2332	642	1.46	0.589	endopolyphosphatase [EC:3.6.1.10]
K06019	189.03	domain	all	0.958025	624	508	473	225	2.35	0.590	pyrophosphatase PpaX [EC:3.6.1.1]
K06020	698.80	domain	all	0.991540	3063	2384	1076	556	1.28	0.589	energy-dependent translational throttle protein EttA
K06023	58.73	full	all	0.998225	2671	1970	1636	476	6.21	0.590	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
K06024	48.63	full	all	0.996356	5966	5087	4605	322	9.02	0.590	segregation and condensation protein B
K06027	348.53	domain	all	0.983591	1274	1174	4652	1030	3.70	0.590	vesicle-fusing ATPase [EC:3.6.4.6]
K06030	816.00	full	all	0.794133	766	709	3183	1113	3.48	0.590	mitofusin 2 [EC:3.6.5.-]
K06033	266.93	full	all	0.982456	29	28	305	241	1.30	0.589	arylmalonate decarboxylase [EC:4.1.1.76]
K06034	171.63	domain	all	0.808145	184	176	322	166	2.56	0.590	sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79]
K06035	134.67	full	all	0.984453	98	95	554	274	1.93	0.590	cyanamide hydratase [EC:4.2.1.69]
K06037	519.77	full	trim	0.960455	416	413	1689	649	2.18	0.590	O-phospho-L-threonine phospho-lyase [EC:4.2.3.-]
K06038	564.07	full	all	1.000000	3	3	391	358	0.52	0.591	glycosylphosphatidylinositol diacylglycerol-lyase [EC:4.6.1.14]
K06039	69.73	full	all	0.981687	731	446	181	118	2.05	0.590	uncharacterized protein involved in oxidation of intracellular sulfur
K06041	158.77	domain	all	0.922916	4860	3983	1484	411	3.75	0.590	arabinose-5-phosphate isomerase [EC:5.3.1.13]
K06042	84.60	domain	all	0.990860	3190	2657	1511	369	6.28	0.590	precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]
K06044	455.17	full	all	0.950050	2063	1889	6384	914	3.13	0.590	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]
K06045	611.30	full	all	0.895570	1131	1034	4156	898	7.13	0.590	squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]
K06046	346.87	full	all	1.000000	43	38	440	387	1.48	0.590	long-chain-fatty-acid---luciferin-component ligase [EC:6.2.1.19]
K06047	188.23	domain	all	0.952866	647	598	4332	622	6.23	0.590	tubulin---tyrosine ligase [EC:6.3.2.25]
K06048	101.17	full	all	0.996568	3175	2773	3175	530	8.07	0.590	glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]
K06049	279.73	full	all	1.000000	167	166	547	293	1.61	0.590	magnesium chelatase accessory protein
K06051	619.10	domain	all	0.916773	1600	1557	7436	877	3.38	0.590	delta
K06052	1626.37	domain	all	0.719340	749	714	6900	1331	2.37	0.590	jagged-1
K06053	175.77	full	all	0.997986	1130	992	4716	599	2.05	0.590	recombining binding protein suppressor of hairless
K06054	264.33	domain	all	0.777899	933	817	2792	360	6.60	0.590	hairy and enhancer of split 1
K06055	120.57	domain	all	0.986577	1492	1351	1894	237	4.02	0.590	hairy and enhancer of split 5
K06056	148.53	full	all	0.960957	198	197	1257	391	3.60	0.590	pre T-cell antigen receptor alpha
K06057	120.47	full	all	0.999436	911	890	4615	700	2.30	0.590	numb
K06058	63.57	domain	all	0.980253	2381	2247	11918	591	6.48	0.590	deltex [EC:2.3.2.27]
K06059	487.43	domain	all	0.978202	779	750	4583	833	2.78	0.590	disintegrin and metalloproteinase domain-containing protein 17 [EC:3.4.24.86]
K06061	133.47	domain	trim	0.988963	1186	1177	8312	1079	5.33	0.590	mastermind
K06062	164.17	domain	all	0.995562	1454	1354	6419	772	3.37	0.590	histone acetyltransferase [EC:2.3.1.48]
K06063	163.30	full	all	0.997950	1133	978	3677	728	3.62	0.590	SNW domain-containing protein 1
K06064	263.27	full	all	1.000000	61	60	2711	975	2.22	0.590	hairless
K06065	2126.73	full	trim	0.982111	370	370	10380	2512	1.89	0.590	nuclear receptor co-repressor 2
K06066	97.40	full	all	0.994142	696	681	3294	493	3.56	0.590	CBF1 interacting corepressor
K06067	773.27	full	all	0.898388	2176	1760	4746	633	2.47	0.590	histone deacetylase 1/2 [EC:3.5.1.98]
K06068	1057.20	full	all	0.849615	593	544	4346	866	3.42	0.590	novel protein kinase C delta type [EC:2.7.11.13]
K06069	1034.77	domain	all	0.873424	639	556	3678	679	1.91	0.590	atypical protein kinase C iota type [EC:2.7.11.13]
K06070	564.00	full	all	0.997859	1485	1403	6166	989	1.77	0.591	protein kinase D [EC:2.7.11.13]
